hashtag_H cluster_C_leader(userID) relative_frequency_H_C frequency_H_in_C frequency_H_overall count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
tmommfilm 1260304251600936962.hashtags 785.60000000000002004851 .00025458248472505091  .20000000000000000000 1 5 1 3928
elderly 1260304251600936962.hashtags 15.40392156862745098198 .01298370672097759674  .20000000000000000000 1 5 51 3928
Corruption" 1260304251600936962.hashtags 157.12000000000000030669 .00127291242362525458  .20000000000000000000 1 5 5 3928
"70sWeek 1263143338582171648.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
docswhorock" 1263143338582171648.hashtags 654.66666666666667480199 .00076374745417515274  .50000000000000000000 1 2 3 3928
AnimalAbuse 1266081768450465797.hashtags 785.60000000000000153349 .00127291242362525458  1.00000000000000000000 1 1 5 3928
BREAKING 1269081892017455104.hashtags 5.17523056653491436103 .19322810590631364562  1.00000000000000000000 1 1 759 3928
BlackLivesMatter 1269093125634625537.hashtags 436.44444444444444605831 .00229124236252545824  1.00000000000000000000 1 1 9 3928
Russian 1270798808910307329.hashtags 1.29894179894179894181 .76985743380855397148  1.00000000000000000000 1 1 3024 3928
Russian 1272063132236742656.hashtags 1.29894179894179894181 .76985743380855397148  1.00000000000000000000 1 1 3024 3928
"suicideawareness 1276873967408726024.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
suicidal 1276873967408726024.hashtags 261.86666666666666717521 .00127291242362525458  .33333333333333333333 1 3 5 3928
Legal" 1276873967408726024.hashtags 327.33333333333333525478 .00101832993890020366  .33333333333333333333 1 3 4 3928
COVID19 1279734335961268225.hashtags 3.30084033613445378152 .30295315682281059063  1.00000000000000000000 1 1 1190 3928
"IDsILLEGAL 1282266661135974410.hashtags 436.44444444444444986362 .00076374745417515274  .33333333333333333333 1 3 3 3928
BirthCertificateFraud 1282266661135974410.hashtags 119.03030303030303036416 .00280040733197556008  .33333333333333333333 1 3 11 3928
BCCRSS" 1282266661135974410.hashtags 187.04761904761904819221 .00178207739307535641  .33333333333333333333 1 3 7 3928
Resister 1283553117292818434.hashtags 49.72151898734177215995 .02011201629327902240  1.00000000000000000000 1 1 79 3928
RussiaReport 1284550308211949571.hashtags 261.86666666666666717783 .00381873727087576374  1.00000000000000000000 1 1 15 3928
EuropeanUnion 1284550315908497409.hashtags 982.00000000000000577416 .00101832993890020366  1.00000000000000000000 1 1 4 3928
Brexit 1284550317548371968.hashtags 13.36054421768707482995 .07484725050916496945  1.00000000000000000000 1 1 294 3928
Brexit 1284550319704281089.hashtags 13.36054421768707482995 .07484725050916496945  1.00000000000000000000 1 1 294 3928
